country,province,region,ethnic_group,confederation,tribe,clan,sub_clan,language,iso_639_3,note
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Popalzai,Sadozai,Kamran Khel,Southern Pashto,pbt,Ruling lineage of the Durrani Empire from 1747
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Popalzai,Sadozai,Wazirzada,Southern Pashto,pbt,Ruling lineage of the Durrani Empire from 1747
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Popalzai,Bamizai,,Southern Pashto,pbt,Ruling lineage of the Durrani Empire from 1747
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Popalzai,Khaljai,,Southern Pashto,pbt,Ruling lineage of the Durrani Empire from 1747
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Barakzai,Mohammadzai,Musahiban,Southern Pashto,pbt,Royal house of Afghanistan 1823-1973
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Barakzai,Mohammadzai,Yahya Khel,Southern Pashto,pbt,Royal house of Afghanistan 1823-1973
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Barakzai,Sherzai,,Southern Pashto,pbt,Royal house of Afghanistan 1823-1973
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Barakzai,Painda Khel,,Southern Pashto,pbt,Royal house of Afghanistan 1823-1973
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Alikozai,,,Southern Pashto,pbt,
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Achakzai,,,Southern Pashto,pbt,Separated from Barakzai by Ahmad Shah Durrani; Spin Boldak
Afghanistan,Kandahar,South,Pashtun,Durrani (Zirak),Mastizai,,,Southern Pashto,pbt,Small; called Musazai by Hayat Khan
Afghanistan,Kandahar,South,Pashtun,Durrani (Panjpai),Nurzai,,,Southern Pashto,pbt,
Afghanistan,Kandahar,South,Pashtun,Durrani (Panjpai),Ishaqzai,,,Southern Pashto,pbt,Also called Sakzai
Afghanistan,Kandahar,South,Pashtun,Ghurghusht,Kakar,,,Southern Pashto,pbt,
Afghanistan,Kandahar,South,Pashtun,Ghurghusht,Panni,,,Southern Pashto,pbt,
Afghanistan,Kandahar,South,Pashtun,Ghurghusht,Babi,,,Southern Pashto,pbt,
Afghanistan,Kandahar,South,Tajik,,Kandahari Tajik,,,Dari,prs,
Afghanistan,Kandahar,South,Qizilbash,,Qizilbash,,,Dari,prs,
Afghanistan,Helmand,South,Pashtun,Durrani (Panjpai),Alizai,Hassanzai,,Southern Pashto,pbt,"Musa Qala, Kajaki, Baghran"
Afghanistan,Helmand,South,Pashtun,Durrani (Panjpai),Alizai,Khalozai,,Southern Pashto,pbt,"Musa Qala, Kajaki, Baghran"
Afghanistan,Helmand,South,Pashtun,Durrani (Panjpai),Alizai,Pirzai,,Southern Pashto,pbt,"Musa Qala, Kajaki, Baghran"
Afghanistan,Helmand,South,Pashtun,Durrani (Panjpai),Nurzai,,,Southern Pashto,pbt,
Afghanistan,Helmand,South,Pashtun,Durrani (Panjpai),Ishaqzai,,,Southern Pashto,pbt,
Afghanistan,Helmand,South,Pashtun,Durrani (Zirak),Barakzai,Mohammadzai,,Southern Pashto,pbt,
Afghanistan,Helmand,South,Pashtun,Durrani (Zirak),Popalzai,,,Southern Pashto,pbt,
Afghanistan,Helmand,South,Baloch,,Baloch,Rakhshani,,Western Balochi,bgn,
Afghanistan,Helmand,South,Baloch,,Baloch,Sarbandi,,Western Balochi,bgn,
Afghanistan,Helmand,South,Brahui,,Brahui,,,Brahui,brh,
Afghanistan,Uruzgan,South,Pashtun,Durrani (Zirak),Popalzai,,,Southern Pashto,pbt,
Afghanistan,Uruzgan,South,Pashtun,Durrani (Zirak),Barakzai,,,Southern Pashto,pbt,
Afghanistan,Uruzgan,South,Pashtun,Durrani (Panjpai),Nurzai,,,Southern Pashto,pbt,
Afghanistan,Uruzgan,South,Pashtun,Ghilji,Tokhi,,,Central Pashto,pst,
Afghanistan,Uruzgan,South,Hazara,,Hazara,Uruzgani,,Hazaragi,haz,
Afghanistan,Uruzgan,South,Hazara,,Hazara,Dai Kundi,,Hazaragi,haz,
Afghanistan,Zabul,South,Pashtun,Ghilji (Turan),Hotak,Malak Yar,,Central Pashto,pst,Ruling house of the Hotak dynasty 1709-1738; Kalat-i-Ghilji
Afghanistan,Zabul,South,Pashtun,Ghilji (Turan),Hotak,Dolat Yar,,Central Pashto,pst,Ruling house of the Hotak dynasty 1709-1738; Kalat-i-Ghilji
Afghanistan,Zabul,South,Pashtun,Ghilji (Turan),Hotak,Yusuf,,Central Pashto,pst,Ruling house of the Hotak dynasty 1709-1738; Kalat-i-Ghilji
Afghanistan,Zabul,South,Pashtun,Ghilji (Turan),Tokhi,,,Central Pashto,pst,
Afghanistan,Zabul,South,Pashtun,Ghurghusht,Kakar,,,Southern Pashto,pbt,
Afghanistan,Zabul,South,Pashtun,Ghilji,Nasar,,,Central Pashto,pst,Largely nomadic (kuchi)
Afghanistan,Zabul,South,Hazara,,Hazara,Dai Chopan,,Hazaragi,haz,
Afghanistan,Nimroz,South-West,Baloch,,Baloch,,,Western Balochi,bgn,
Afghanistan,Nimroz,South-West,Brahui,,Brahui,,,Brahui,brh,Only Dravidian language in the region
Afghanistan,Nimroz,South-West,Pashtun,Durrani (Panjpai),Nurzai,,,Southern Pashto,pbt,
Afghanistan,Nimroz,South-West,Pashtun,Sarbani,Barech,,,Southern Pashto,pbt,
Afghanistan,Nimroz,South-West,Tajik,,Sistani Tajik,,,Dari,prs,
